protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,extra_columns,mae,rmse,r2,spearman
room_plus_null_block_two_columns,Physical,3,4,402,55,78,19,2,6.815762493367282,8.693420441433197,0.42206615194078767,0.9263910562452322
room_plus_null_block_two_columns,Morgan+Physical,3,4,402,55,78,19,2,6.146781192232999,9.456184854834097,0.31620067207733094,0.6669564540878915
room_plus_null_block_two_columns,Morgan,4,0,398,59,77,20,2,10.275598775443386,21.91928107986351,0.055691551084629975,0.24109108692760567
room_plus_null_block_two_columns,Physical,4,0,398,59,77,20,2,10.018718091447475,21.984125415829944,0.05009614604355905,0.7522434060024592
room_plus_null_block_two_columns,Morgan+Physical,4,0,398,59,77,20,2,7.547766796241373,20.826170472885252,0.14752804211947457,0.7642962332509257
room_plus_null_block_two_columns,Morgan,4,1,340,117,77,20,2,7.534073092740051,11.860218700221338,-0.4724501317174197,0.4417181414495794
room_plus_null_block_two_columns,Physical,4,1,340,117,77,20,2,4.532445599264813,6.388298472285189,0.5728055535124601,0.6715320824433731
room_plus_null_block_two_columns,Morgan+Physical,4,1,340,117,77,20,2,5.2746990790186175,8.578426891472658,0.22968117864754212,0.5444325543744014
room_plus_null_block_two_columns,Morgan,4,2,346,111,78,19,2,13.628407963259583,20.004464658648356,0.008600713012182903,0.5976345029663745
room_plus_null_block_two_columns,Physical,4,2,346,111,78,19,2,22.936898516091357,31.751112198566634,-1.497540964134898,0.7387760103257274
