queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
91,DHKHKXVYLBGOIT-UHFFFAOYSA-N,"1,1-Diethoxyethane",CCOC(C)OCC,3.80,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
92,DIQMPQMYFZXDAX-UHFFFAOYSA-N,Amyl formate,CCCCCOC=O,6.49,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
93,DKPFZGUDAPQIHT-UHFFFAOYSA-N,Butyl acetate,CCCCOC(C)=O,5.01,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
94,DLRJIFUOBPOJNS-UHFFFAOYSA-N,ethoxybenzene,CCOc1ccccc1,4.2,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
95,FDPIMTJIUBPUKL-UHFFFAOYSA-N,3-Pentanone,CCC(=O)CC,17.00,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
96,FERIUCNNQQJTOY-UHFFFAOYSA-N,Butyric acid,CCCC(=O)O,2.97,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
97,FOTXAJDDGPYIFU-UHFFFAOYSA-N,Ethylcyclopropane,CCC1CC1,1.933,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
98,GDOPTJXRTPNYNR-UHFFFAOYSA-N,Methylcyclopentane,CC1CCCC1,1.985,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
99,GJRQTCIYDGXPES-UHFFFAOYSA-N,Isobutyl acetate,CC(=O)OCC(C)C,5.29,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
100,GWYFCOCPABKNJV-UHFFFAOYSA-N,Isovaleric acid,CC(C)CC(=O)O,2.64,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
101,HGCIXCUEYOPUTN-UHFFFAOYSA-N,Cyclohexene,C1=CCCCC1,2.220,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
102,IBSQPLPBRSHTTG-UHFFFAOYSA-N,o-Chlorotoluene,Cc1ccccc1Cl,4.45,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
