Index,Solvent Name,CANON_SMILES,Temperature (K),Inverse temperature (1/K),EdgePool_log(Viscosity)_pred,is_within_training
223,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,275,0.0036363636363636,0.2994095,False
224,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,280,0.0035714285714285,0.31571832,False
225,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,285,0.0035087719298245,0.29031786,False
226,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,290,0.0034482758620689,0.24352078,False
227,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,295,0.0033898305084745,0.1656366,False
228,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,300,0.0033333333333333,0.050757125,False
229,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,305,0.0032786885245901,-0.012076622,False
230,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,310,0.0032258064516129,-0.07429786,False
231,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,315,0.0031746031746031,-0.13961451,False
232,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,320,0.003125,-0.18766703,False
233,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,325,0.003076923076923,-0.21962763,False
234,TFEC (C5H4F6O3),O=C(OCC(F)(F)F)OCC(F)(F)F,330,0.003030303030303,-0.2633776,False
235,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,270,0.0037037037037037,0.59370655,True
236,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,275,0.0036363636363636,0.5054327,True
237,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,280,0.0035714285714285,0.45043272,True
238,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,285,0.0035087719298245,0.4121134,True
239,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,290,0.0034482758620689,0.35775763,True
240,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,295,0.0033898305084745,0.31001157,True
241,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,300,0.0033333333333333,0.2604569,True
242,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,305,0.0032786885245901,0.23565863,True
243,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,310,0.0032258064516129,0.2083427,True
244,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,315,0.0031746031746031,0.1693691,True
